timestep = 0
edge1     edge2
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 4.9
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
18        17         
18        19         
19        18         
19        21         
21        19         
20        21         
21        20         
0        20         
20         0         
0         1         
1         0         
2         3         
3         2         
3        17         
17         3         
3        13         
18         7         
4        24         
24         4         
4        19         
19         4         
5        21         
21         5         
5        22         
22         5         
22        24         
24        22         
5         9         
9         5         
6        23         
23         6         
6         8         
8         6         
8         9         
9         8         
22        23         
23        22         
25        27         
27        25         
25        26         
26        25         
26        29         
29        26         
27        28         
28        27         
28        29         
29        28         
8        27         
27         8         
9        31         
31         9         
12        32         
32        12         
12        25         
25        12         
31        32         
32        31         
0        34         
34         0         
31        34         
34        31         
11        12         
12        11         
11        13         
13        11         
13        36         
36        13         
32        33         
33        32         
33        35         
35        33         
35        36         
36        35         
4        38         
38         4         
38        44         
37        49         
37        39         
39        37         
39        16         
24        40         
40        24         
37        38         
38        37         
39        40         
40        39         
23        41         
41        23         
40        41         
41        40         
26        43         
43        26         
29        30         
30        29         
30        42         
42        30         
42        43         
43        42         
7        44         
44         7         
7        11         
11         7         
43        44         
44        43         
7        18         
44        38         
45        54         
45        46         
46        45         
46        47         
47        46         
48        54         
47        49         
49        47         
48        49         
49        48         
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 5
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
18        17         
18        19         
19        18         
19        21         
21        19         
20        21         
21        20         
0        20         
20         0         
0         1         
1         0         
2         3         
3         2         
3        17         
17         3         
3        13         
18         7         
4        24         
24         4         
4        19         
19         4         
5        21         
21         5         
5        22         
22         5         
22        24         
24        22         
5         9         
9         5         
6        23         
23         6         
6         8         
8         6         
8         9         
9         8         
22        23         
23        22         
25        27         
27        25         
25        26         
26        25         
26        29         
29        26         
27        28         
28        27         
28        29         
29        28         
8        27         
27         8         
9        31         
31         9         
12        32         
32        12         
12        25         
25        12         
31        32         
32        31         
0        34         
34         0         
31        34         
34        31         
11        12         
12        11         
11        13         
13        11         
13        36         
36        13         
32        33         
33        32         
33        35         
35        33         
35        36         
36        35         
4        38         
38         4         
38        44         
37        49         
37        39         
39        37         
39        16         
24        40         
40        24         
37        38         
38        37         
39        40         
40        39         
23        41         
41        23         
40        41         
41        40         
26        43         
43        26         
29        30         
30        29         
30        42         
42        30         
42        43         
43        42         
7        44         
44         7         
7        11         
11         7         
43        44         
44        43         
7        18         
44        38         
45        54         
45        46         
46        45         
46        47         
47        46         
48        54         
47        49         
49        47         
48        49         
49        48         
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 5.1
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
18        17         
18        19         
19        18         
19        21         
21        19         
20        21         
21        20         
0        20         
20         0         
0         1         
1         0         
2         3         
3         2         
3        17         
17         3         
3        13         
18         7         
4        24         
24         4         
4        19         
19         4         
5        21         
21         5         
5        22         
22         5         
22        24         
24        22         
5         9         
9         5         
6        23         
23         6         
6         8         
8         6         
8         9         
9         8         
22        23         
23        22         
25        27         
27        25         
25        26         
26        25         
26        29         
29        26         
27        28         
28        27         
28        29         
29        28         
8        27         
27         8         
9        31         
31         9         
12        32         
32        12         
12        25         
25        12         
31        32         
32        31         
0        34         
34         0         
31        34         
34        31         
11        12         
12        11         
11        13         
13        11         
13        36         
36        13         
32        33         
33        32         
33        35         
35        33         
35        36         
36        35         
4        38         
38         4         
38        44         
37        49         
37        39         
39        37         
39        16         
24        40         
40        24         
37        38         
38        37         
39        40         
40        39         
23        41         
41        23         
40        41         
41        40         
26        43         
43        26         
29        30         
30        29         
30        42         
42        30         
42        43         
43        42         
7        44         
44         7         
7        11         
11         7         
43        44         
44        43         
7        18         
44        38         
45        54         
45        46         
46        45         
46        47         
47        46         
48        54         
47        49         
49        47         
48        49         
49        48         
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 5.2
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
18        17         
18        19         
19        18         
19        21         
21        19         
20        21         
21        20         
0        20         
20         0         
0         1         
1         0         
2         3         
3         2         
3        17         
17         3         
3        13         
18         7         
4        24         
24         4         
4        19         
19         4         
5        21         
21         5         
5        22         
22         5         
22        24         
24        22         
5         9         
9         5         
6        23         
23         6         
6         8         
8         6         
8         9         
9         8         
22        23         
23        22         
25        27         
27        25         
25        26         
26        25         
26        29         
29        26         
27        28         
28        27         
28        29         
29        28         
8        27         
27         8         
9        31         
31         9         
12        32         
32        12         
12        25         
25        12         
31        32         
32        31         
0        34         
34         0         
31        34         
34        31         
11        12         
12        11         
11        13         
13        11         
13        36         
36        13         
32        33         
33        32         
33        35         
35        33         
35        36         
36        35         
4        38         
38         4         
38        44         
37        49         
37        39         
39        37         
39        16         
24        40         
40        24         
37        38         
38        37         
39        40         
40        39         
23        41         
41        23         
40        41         
41        40         
26        43         
43        26         
29        30         
30        29         
30        42         
42        30         
42        43         
43        42         
7        44         
44         7         
7        11         
11         7         
43        44         
44        43         
7        18         
44        38         
45        54         
45        46         
46        45         
46        47         
47        46         
48        54         
47        49         
49        47         
48        49         
49        48         
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 5.3
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
18        17         
18        19         
19        18         
19        21         
21        19         
20        21         
21        20         
0        20         
20         0         
0         1         
1         0         
2         3         
3         2         
3        17         
17         3         
3        13         
18         7         
4        24         
24         4         
4        19         
19         4         
5        21         
21         5         
5        22         
22         5         
22        24         
24        22         
5         9         
9         5         
6        23         
23         6         
6         8         
8         6         
8         9         
9         8         
22        23         
23        22         
25        27         
27        25         
25        26         
26        25         
26        29         
29        26         
27        28         
28        27         
28        29         
29        28         
8        27         
27         8         
9        31         
31         9         
12        32         
32        12         
12        25         
25        12         
31        32         
32        31         
0        34         
34         0         
31        34         
34        31         
11        12         
12        11         
11        13         
13        11         
13        36         
36        13         
32        33         
33        32         
33        35         
35        33         
35        36         
36        35         
4        38         
38         4         
38        44         
37        49         
37        39         
39        37         
39        16         
24        40         
40        24         
37        38         
38        37         
39        40         
40        39         
23        41         
41        23         
40        41         
41        40         
26        43         
43        26         
29        30         
30        29         
30        42         
42        30         
42        43         
43        42         
7        44         
44         7         
7        11         
11         7         
43        44         
44        43         
7        18         
44        38         
45        54         
45        46         
46        45         
46        47         
47        46         
48        54         
47        49         
49        47         
48        49         
49        48         
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 5.4
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
18        17         
18        19         
19        18         
19        21         
21        19         
20        21         
21        20         
0        20         
20         0         
0         1         
1         0         
2         3         
3         2         
3        17         
17         3         
3        13         
18         7         
4        24         
24         4         
4        19         
19         4         
5        21         
21         5         
5        22         
22         5         
22        24         
24        22         
5         9         
9         5         
6        23         
23         6         
6         8         
8         6         
8         9         
9         8         
22        23         
23        22         
25        27         
27        25         
25        26         
26        25         
26        29         
29        26         
27        28         
28        27         
28        29         
29        28         
8        27         
27         8         
9        31         
31         9         
12        32         
32        12         
12        25         
25        12         
31        32         
32        31         
0        34         
34         0         
31        34         
34        31         
11        12         
12        11         
11        13         
13        11         
13        36         
36        13         
32        33         
33        32         
33        35         
35        33         
35        36         
36        35         
4        38         
38         4         
38        44         
37        49         
37        39         
39        37         
39        16         
24        40         
40        24         
37        38         
38        37         
39        40         
40        39         
23        41         
41        23         
40        41         
41        40         
26        43         
43        26         
29        30         
30        29         
30        42         
42        30         
42        43         
43        42         
7        44         
44         7         
7        11         
11         7         
43        44         
44        43         
7        18         
44        38         
45        54         
45        46         
46        45         
46        47         
47        46         
48        54         
47        49         
49        47         
48        49         
49        48         
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 5.5
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
18        17         
18        19         
19        18         
19        21         
21        19         
20        21         
21        20         
0        20         
20         0         
0         1         
1         0         
2         3         
3         2         
3        17         
17         3         
3        13         
18         7         
4        24         
24         4         
4        19         
19         4         
5        21         
21         5         
5        22         
22         5         
22        24         
24        22         
5         9         
9         5         
6        23         
23         6         
6         8         
8         6         
8         9         
9         8         
22        23         
23        22         
25        27         
27        25         
25        26         
26        25         
26        29         
29        26         
27        28         
28        27         
28        29         
29        28         
8        27         
27         8         
9        31         
31         9         
12        32         
32        12         
12        25         
25        12         
31        32         
32        31         
0        34         
34         0         
31        34         
34        31         
11        12         
12        11         
11        13         
13        11         
13        36         
36        13         
32        33         
33        32         
33        35         
35        33         
35        36         
36        35         
4        38         
38         4         
38        44         
37        49         
37        39         
39        37         
39        16         
24        40         
40        24         
37        38         
38        37         
39        40         
40        39         
23        41         
41        23         
40        41         
41        40         
26        43         
43        26         
29        30         
30        29         
30        42         
42        30         
42        43         
43        42         
7        44         
44         7         
7        11         
11         7         
43        44         
44        43         
7        18         
44        38         
45        54         
45        46         
46        45         
46        47         
47        46         
48        54         
47        49         
49        47         
48        49         
49        48         
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 5.6
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
18        17         
18        19         
19        18         
19        21         
21        19         
20        21         
21        20         
0        20         
20         0         
0         1         
1         0         
2         3         
3         2         
3        17         
17         3         
3        13         
18         7         
4        24         
24         4         
4        19         
19         4         
5        21         
21         5         
5        22         
22         5         
22        24         
24        22         
5         9         
9         5         
6        23         
23         6         
6         8         
8         6         
8         9         
9         8         
22        23         
23        22         
25        27         
27        25         
25        26         
26        25         
26        29         
29        26         
27        28         
28        27         
28        29         
29        28         
8        27         
27         8         
9        31         
31         9         
12        32         
32        12         
12        25         
25        12         
31        32         
32        31         
0        34         
34         0         
31        34         
34        31         
11        12         
12        11         
11        13         
13        11         
13        36         
36        13         
32        33         
33        32         
33        35         
35        33         
35        36         
36        35         
4        38         
38         4         
38        44         
37        49         
37        39         
39        37         
39        16         
24        40         
40        24         
37        38         
38        37         
39        40         
40        39         
23        41         
41        23         
40        41         
41        40         
26        43         
43        26         
29        30         
30        29         
30        42         
42        30         
42        43         
43        42         
7        44         
44         7         
7        11         
11         7         
43        44         
44        43         
7        18         
44        38         
45        54         
45        46         
46        45         
46        47         
47        46         
48        54         
47        49         
49        47         
48        49         
49        48         
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 5.7
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
18        17         
18        19         
19        18         
19        21         
21        19         
20        21         
21        20         
0        20         
20         0         
0         1         
1         0         
2         3         
3         2         
3        17         
17         3         
3        13         
18         7         
4        24         
24         4         
4        19         
19         4         
5        21         
21         5         
5        22         
22         5         
22        24         
24        22         
5         9         
9         5         
6        23         
23         6         
6         8         
8         6         
8         9         
9         8         
22        23         
23        22         
25        27         
27        25         
25        26         
26        25         
26        29         
29        26         
27        28         
28        27         
28        29         
29        28         
8        27         
27         8         
9        31         
31         9         
12        32         
32        12         
12        25         
25        12         
31        32         
32        31         
0        34         
34         0         
31        34         
34        31         
11        12         
12        11         
11        13         
13        11         
13        36         
36        13         
32        33         
33        32         
33        35         
35        33         
35        36         
36        35         
4        38         
38         4         
38        44         
37        49         
37        39         
39        37         
39        16         
24        40         
40        24         
37        38         
38        37         
39        40         
40        39         
23        41         
41        23         
40        41         
41        40         
26        43         
43        26         
29        30         
30        29         
30        42         
42        30         
42        43         
43        42         
7        44         
44         7         
7        11         
11         7         
43        44         
44        43         
7        18         
44        38         
45        54         
45        46         
46        45         
46        47         
47        46         
48        54         
47        49         
49        47         
48        49         
49        48         
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 5.8
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
18        17         
18        19         
19        18         
19        21         
21        19         
20        21         
21        20         
0        20         
20         0         
0         1         
1         0         
2         3         
3         2         
3        17         
17         3         
3        13         
18         7         
4        24         
24         4         
4        19         
19         4         
5        21         
21         5         
5        22         
22         5         
22        24         
24        22         
5         9         
9         5         
6        23         
23         6         
6         8         
8         6         
8         9         
9         8         
22        23         
23        22         
25        27         
27        25         
25        26         
26        25         
26        29         
29        26         
27        28         
28        27         
28        29         
29        28         
8        27         
27         8         
9        31         
31         9         
12        32         
32        12         
12        25         
25        12         
31        32         
32        31         
0        34         
34         0         
31        34         
34        31         
11        12         
12        11         
11        13         
13        11         
13        36         
36        13         
32        33         
33        32         
33        35         
35        33         
35        36         
36        35         
4        38         
38         4         
38        44         
37        49         
37        39         
39        37         
39        16         
24        40         
40        24         
37        38         
38        37         
39        40         
40        39         
23        41         
41        23         
40        41         
41        40         
26        43         
43        26         
29        30         
30        29         
30        42         
42        30         
42        43         
43        42         
7        44         
44         7         
7        11         
11         7         
43        44         
44        43         
7        18         
44        38         
45        54         
45        46         
46        45         
46        47         
47        46         
48        54         
47        49         
49        47         
48        49         
49        48         
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 5.9
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
18        17         
18        19         
19        18         
19        21         
21        19         
20        21         
21        20         
0        20         
20         0         
0         1         
1         0         
2         3         
3         2         
3        17         
17         3         
3        13         
18         7         
4        24         
24         4         
4        19         
19         4         
5        21         
21         5         
5        22         
22         5         
22        24         
24        22         
5         9         
9         5         
6        23         
23         6         
6         8         
8         6         
8         9         
9         8         
22        23         
23        22         
25        27         
27        25         
25        26         
26        25         
26        29         
29        26         
27        28         
28        27         
28        29         
29        28         
8        27         
27         8         
9        31         
31         9         
12        32         
32        12         
12        25         
25        12         
31        32         
32        31         
0        34         
34         0         
31        34         
34        31         
11        12         
12        11         
11        13         
13        11         
13        36         
36        13         
32        33         
33        32         
33        35         
35        33         
35        36         
36        35         
4        38         
38         4         
38        44         
37        49         
37        39         
39        37         
39        16         
24        40         
40        24         
37        38         
38        37         
39        40         
40        39         
23        41         
41        23         
40        41         
41        40         
26        43         
43        26         
29        30         
30        29         
30        42         
42        30         
42        43         
43        42         
7        44         
44         7         
7        11         
11         7         
43        44         
44        43         
7        18         
44        38         
45        54         
45        46         
46        45         
46        47         
47        46         
48        54         
47        49         
49        47         
48        49         
49        48         
10        45         
45        10         
10        28         
28        10         
30        46         
46        30         
42        47         
47        42         
48        36         
49        37         
13         3         
33        53         
53        33         
35        50         
50        35         
50        53         
53        50         
14        51         
51        14         
15        58         
51        58         
34        52         
52        34         
51        52         
52        51         
52        53         
53        52         
54        48         
54        45         
36        48         
50        54         
54        50         
55        57         
57        55         
55        56         
56        55         
56        59         
59        56         
57        15         
58        15         
58        59         
59        58         
57        16         
41        55         
55        41         
6        56         
56         6         
10        59         
59        10         
58        51         
timestep = 6
edge1     edge2
1         2         
2         1         
1        14         
14         1         
2        16         
16         2         
14        15         
15        14         
15        57         
16        57         
16        39         
17        20         
20        17         
17        18         
